Mkt-RF_Alpha 1,Mkt-RF_Beta 1,Mkt-RF_R2 1,Mkt-RF_Alpha p-value 1,Mkt-RF_Beta p-value 1,Mkt-RF_Alpha t-value 1,Mkt-RF_Beta t-value 1,Mkt-RF_Alpha t-value adjusted 1,Mkt-RF_Beta t-value adjusted 1,SMB_Alpha 1,SMB_Beta 1,SMB_R2 1,SMB_Alpha p-value 1,SMB_Beta p-value 1,SMB_Alpha t-value 1,SMB_Beta t-value 1,SMB_Alpha t-value adjusted 1,SMB_Beta t-value adjusted 1,HML_Alpha 1,HML_Beta 1,HML_R2 1,HML_Alpha p-value 1,HML_Beta p-value 1,HML_Alpha t-value 1,HML_Beta t-value 1,HML_Alpha t-value adjusted 1,HML_Beta t-value adjusted 1,MOM_Alpha 1,MOM_Beta 1,MOM_R2 1,MOM_Alpha p-value 1,MOM_Beta p-value 1,MOM_Alpha t-value 1,MOM_Beta t-value 1,MOM_Alpha t-value adjusted 1,MOM_Beta t-value adjusted 1,Excess Return 1,Standard Deviation 1,Up Market Capture Ratio 1,Down Market Capture Ratio 1,Mkt-RF_Alpha 3,Mkt-RF_Beta 3,Mkt-RF_R2 3,Mkt-RF_Alpha p-value 3,Mkt-RF_Beta p-value 3,Mkt-RF_Alpha t-value 3,Mkt-RF_Beta t-value 3,Mkt-RF_Alpha t-value adjusted 3,Mkt-RF_Beta t-value adjusted 3,SMB_Alpha 3,SMB_Beta 3,SMB_R2 3,SMB_Alpha p-value 3,SMB_Beta p-value 3,SMB_Alpha t-value 3,SMB_Beta t-value 3,SMB_Alpha t-value adjusted 3,SMB_Beta t-value adjusted 3,HML_Alpha 3,HML_Beta 3,HML_R2 3,HML_Alpha p-value 3,HML_Beta p-value 3,HML_Alpha t-value 3,HML_Beta t-value 3,HML_Alpha t-value adjusted 3,HML_Beta t-value adjusted 3,MOM_Alpha 3,MOM_Beta 3,MOM_R2 3,MOM_Alpha p-value 3,MOM_Beta p-value 3,MOM_Alpha t-value 3,MOM_Beta t-value 3,MOM_Alpha t-value adjusted 3,MOM_Beta t-value adjusted 3,Excess Return 3,Standard Deviation 3,Up Market Capture Ratio 3,Down Market Capture Ratio 3,Mkt-RF_Alpha 5,Mkt-RF_Beta 5,Mkt-RF_R2 5,Mkt-RF_Alpha p-value 5,Mkt-RF_Beta p-value 5,Mkt-RF_Alpha t-value 5,Mkt-RF_Beta t-value 5,Mkt-RF_Alpha t-value adjusted 5,Mkt-RF_Beta t-value adjusted 5,SMB_Alpha 5,SMB_Beta 5,SMB_R2 5,SMB_Alpha p-value 5,SMB_Beta p-value 5,SMB_Alpha t-value 5,SMB_Beta t-value 5,SMB_Alpha t-value adjusted 5,SMB_Beta t-value adjusted 5,HML_Alpha 5,HML_Beta 5,HML_R2 5,HML_Alpha p-value 5,HML_Beta p-value 5,HML_Alpha t-value 5,HML_Beta t-value 5,HML_Alpha t-value adjusted 5,HML_Beta t-value adjusted 5,MOM_Alpha 5,MOM_Beta 5,MOM_R2 5,MOM_Alpha p-value 5,MOM_Beta p-value 5,MOM_Alpha t-value 5,MOM_Beta t-value 5,MOM_Alpha t-value adjusted 5,MOM_Beta t-value adjusted 5,Excess Return 5,Standard Deviation 5,Up Market Capture Ratio 5,Down Market Capture Ratio 5,ISIN,graphext_cluster,grp_title
-5.4880363244146665e-06,0.61711955466357,0.4307670465875555,0.9878895025938876,1.9697914454832528e-32,-0.015194030347625608,13.7545448486453,-8.275510660716561e-08,0.6171188987503576,0.0007452001507703351,-0.21857627951656766,0.02120799313720312,0.11381868693548693,0.020742006315998814,1.58681426209761,-2.3274190482146255,0.0005927498602739135,-0.1972547782918314,0.0007413484639957506,-0.5127560371674337,0.19565001415184224,0.08247256757209206,1.7006261160310085e-13,1.743517435608792,-7.798075163288395,0.0006116835755654064,-0.5125455382970684,0.0006001946475313179,0.31412264249135524,0.13589934848975538,0.17462944377113807,1.5708101870020252e-09,1.361347974262249,6.270418470171594,0.0004463557336970818,0.3135284993318192,-0.1099032574841041,0.00751020905815232,0.87186650674064,0.9853346442663208,0.000319355598749325,0.5720376608420155,0.47819928410141577,0.1662881186359759,1.3241651274311147e-108,1.3855694394067342,26.286804694613846,0.00023945880112685622,0.5720376608398217,0.0004228316454631372,-0.5056809860927218,0.09230247294210048,0.16459528275365293,1.3147442795607393e-17,1.391133530175446,-8.756322835955267,0.00031763403683451766,-0.5056013602696077,0.0003174729709146866,-0.5961395201046467,0.17021750470685137,0.2753419417989752,1.969612927275903e-32,1.0916357193223873,-12.436714031866064,0.00021090777517634697,-0.5961371533587295,0.0003585179328677606,0.32563710735888673,0.07978141292541907,0.24217778925300706,2.469879851746899e-15,1.170479688331926,8.085204965728135,0.0002472991817897661,0.325536790485803,0.1561005339477356,0.008761339178636649,0.8436042180108086,0.7674695353885167,0.000373384911957228,0.568194554254039,0.4477048263933733,0.019356301969070903,2.248062552354789e-164,2.3416071171118236,31.93379879856193,0.00033747538245570253,0.5681945542540313,0.00043713300621772407,-0.4687045642382104,0.07876195079271042,0.03406790172575752,3.088996421916488e-24,2.1215822395778727,-10.370808601239148,0.00038474617373436337,-0.46868987787602456,0.000495201456947219,-0.5315137614772363,0.13042700549373543,0.01341879371284828,4.1263190456815066e-40,2.475956439066406,-13.73634089889569,0.0004535636646126851,-0.5315131861731491,0.00043456138989807376,0.34912022320195735,0.08277477695600555,0.03473724637333083,1.935185242920005e-25,2.1137007265088705,10.654948026920962,0.00038207066439962574,0.3491119895998913,0.3196326863359972,0.0076059721877966375,0.8908318155091555,0.7882190813922432,IE0033535075,Cluster 2,IE0033535075
0.0004675353348623771,0.4793666610826777,0.3346188017446986,0.17555341988657788,6.617802595472865e-24,1.3584248605523084,11.212692491634552,0.0003473481900682522,0.4793601888018893,0.0010452544225542232,-0.14892687397984228,0.012675073692535843,0.012549999202953199,0.07442361680887115,2.5144658769930444,-1.7914933486755968,0.0009606869485769303,-0.12409912202054207,0.0010561074634773582,-0.4803843462296479,0.221078669993092,0.004541243939306833,2.8912601447724364e-15,2.863803137260233,-8.42357850247772,0.0009958550827049452,-0.4802788407088577,0.00092001416582457,0.30797382922045347,0.16817341621465753,0.016533328946536262,1.2179003301727988e-11,2.4131967367550504,7.109389030071983,0.0008376465514021765,0.3077220931854917,-0.02974483884508601,0.006619064471902519,0.8132949864710881,0.7775624991990278,0.00039813290584223774,0.5645656948782002,0.45284277530834005,0.09667798664991163,7.993212280130887e-101,1.6632498736936345,24.980626474720367,0.00032267793918929394,0.5645656948702061,0.0005012300544125568,-0.4886978319822567,0.08381074639625297,0.10598663894481108,4.611161518346989e-16,1.618437066242325,-8.30506298407646,0.00040188212574971755,-0.48857699569121954,0.00038707264249477984,-0.6242651333288007,0.18147021189032386,0.1867957607024928,1.1095742286890986e-34,1.3213192026952794,-12.929183568516397,0.00028380819189564193,-0.6242636187356103,0.0004322365561621864,0.3346386108455405,0.08191149259641217,0.16402452865358086,1.0178812636695104e-15,1.3930192407205728,8.201925446449131,0.00032490166385595333,0.33454687795334465,0.21416632731421484,0.00888418441030869,0.8354741758115628,0.735760535143988,0.0003441443496121592,0.5206429013794192,0.41214074758772956,0.028675541410423448,2.611816123077026e-147,2.1904374595997513,29.697946381523014,0.0003056456782462077,0.5206429013793532,0.0004008934510723601,-0.43779635915949244,0.07534082983002477,0.04220676243717374,3.249702430105692e-23,2.0335475455277963,-10.124292403739961,0.00034842835360209565,-0.43777880630222227,0.0004524194267494384,-0.5368562402905058,0.14588898985094267,0.016998816657388522,4.9035949730297863e-45,2.389913582368541,-14.658664971304562,0.00041096079509439645,-0.5368560092539527,0.0003983963737597436,0.32644228822782395,0.07934669506229275,0.04305106518726617,2.0644055414133193e-24,2.025264159023515,10.412540016130412,0.00034582439447221027,0.3264324775787386,0.26617949244680467,0.007263132825049512,0.7874544588140947,0.6880878683623068,IE00BTJRKG04,Cluster 2,IE00BTJRKG04
0.0005788383448330536,0.58960362810032,0.27549932470780947,0.23556212697742823,3.0402149099335407e-19,1.189014412095708,9.750140554286757,0.0004025697692857724,0.5895692621857015,0.0012616937454945924,-0.0761280454750057,0.0018025165574943047,0.026848053817373523,0.5022709805185287,2.2268567314934384,-0.6718949863082404,0.0011255986860301311,-0.03724642159576564,0.0013116443360115765,-0.6772157409131061,0.2391160867890355,0.008445043101270856,1.488365226833009e-16,2.6547981902099926,-8.863703102968433,0.001219418652280191,-0.6771199620456787,0.0011131823495918593,0.4576345502691457,0.20209375266710594,0.028767766649269732,6.126100056595746e-14,2.199367333706785,7.957387654243948,0.000989760169066106,0.45747434778113544,0.029548117889601135,0.00897230095514412,1.0807382603100177,1.0704619603338645,0.0005151200640032621,0.6620052709135689,0.3579234391869476,0.13244150594500068,1.3977210724555296e-74,1.5061732792349358,20.501580119374186,0.0004008886054483831,0.6620052700872678,0.0006378575275547806,-0.553342014127931,0.06176677823505272,0.1232261677347781,4.1742656703688085e-12,1.5430996649148354,-7.045433889686213,0.0005015361344433263,-0.552859843683816,0.00047403694307263095,-0.8417251927233727,0.189651643943472,0.2179387234813691,2.4601576810049323e-36,1.233057164705938,-13.283976573417407,0.0003359024092660856,-0.8417237604939142,0.0005138215215091861,0.51275022436921,0.11054859636993519,0.202501273996712,5.7004237299081155e-21,1.2755675451705,9.680575510564207,0.0003703253399406843,0.5127181848984824,0.3220372981094831,0.01171993368519901,1.1146303464429361,0.9989917604024239,0.00048395360199955694,0.6276472414968703,0.3337728751054835,0.030963861091853707,4.446681507784893e-113,2.159964107077331,25.104679718994085,0.00042813959098012255,0.62764724148902,0.0005563546348787468,-0.5078368614983749,0.05649222623775785,0.03721982398925957,1.2171668811065146e-17,2.0855578854374937,-8.67884483759057,0.00048723436437679915,-0.5077504543249071,0.0006089102824141168,-0.7301371499694426,0.15037288696966922,0.01620589873034072,1.762555722595416e-46,2.407488983095393,-14.921445873905634,0.000554083327322997,-0.7301369083661541,0.0005206823828052791,0.49743851751884616,0.10267127978246215,0.04556146008505905,1.7777198992889555e-31,2.0014213475843246,11.997452087090807,0.0004503157715769192,0.4974354533536734,0.47971642575572504,0.009731679058605268,1.080054254268181,0.9539496068365617,IE00BWGC5Q41,Cluster 2,IE00BWGC5Q41
0.0005997088705602639,0.5897663039215906,0.27564700802396236,0.2191061290560825,2.9629482693074544e-19,1.2320011984716996,9.75374767928136,0.0004247688591428748,0.5897320522981576,0.0012828172552158752,-0.07639845313692686,0.0018153156898507161,0.02442302161212565,0.5007559718334387,2.2641357791985595,-0.6742805525006226,0.0011495071356877743,-0.037471694510544114,0.0013326684290878542,-0.6769299477403665,0.23891052891721976,0.007473316817548129,1.5401193806541934e-16,2.696965816840423,-8.858695873484857,0.0012428336017825815,-0.676833728706194,0.0011342961793115985,0.4574201638028308,0.20190125363383504,0.025917918301926208,6.316534255211613e-14,2.24079491401183,7.952637702521179,0.001013636656616009,0.4572592739574562,0.0348535977795981,0.008972371947807188,1.084258573478297,1.0673398863265215,0.0005361253704102251,0.6618820786438072,0.35734698562926437,0.11778758153955901,1.961991950106902e-74,1.5659171561254166,20.47587454418271,0.00042413074557350657,0.661882077796148,0.0006588351617825752,-0.5532905963614937,0.061678793188023384,0.1116272403931795,4.327438262268405e-12,1.5927863138234226,-7.040083997150894,0.0005248556279725861,-0.5528058844894999,0.000494942681438504,-0.8419869641568989,0.18953452409174887,0.19864740174934864,2.5987072034458427e-36,1.286546133019593,-13.278914595551097,0.00035822804226634384,-0.841985524211471,0.0005346811557837884,0.5130801473090685,0.11055377321014737,0.18506477082470185,5.687799171163132e-21,1.326533215104453,9.680830344519801,0.0003927790557238873,0.513048095391888,0.33789274619088994,0.011727205345213251,1.1179340247437466,0.996380287148582,0.0005051397953154655,0.6268164816047102,0.33255860487645617,0.024535461373616282,1.4004071942833392e-112,2.2513487206670852,25.036167367665755,0.00045197021189064744,0.6268164815963142,0.0005774736400755584,-0.5070215165770461,0.05625493296393358,0.030700130598406195,1.428677556658049e-17,2.1633754091855986,-8.659509221049678,0.000511100836539587,-0.5069335638480518,0.0006298048332484533,-0.7310502401268982,0.1505992043621236,0.012931774770870662,1.4895141371605585e-46,2.489193346914298,-14.934659572290451,0.0005775455974988574,-0.7310500013969067,0.0005416917569237679,0.4972446836661293,0.10248918408905672,0.03764215631110346,2.0214932038962215e-31,2.080930624136092,11.985592085441677,0.00047408104023646255,0.4972415841518356,0.5061208397847844,0.00973652914869099,1.0840348180842576,0.9509404507251263,IE00BWGC5R57,Cluster 2,IE00BWGC5R57
0.0005885088484987687,0.6581510234895849,0.12838893549080532,0.5009152305084368,4.760012928846074e-09,0.6740295995459588,6.06837535615961,0.0002885748748118164,0.6566274492196363,0.0012507598080956695,0.3011922538023145,0.010552460414043452,0.17632018227560067,0.103756037600095,1.3560078656369787,1.6328657653035477,0.000928454703580437,0.24234865758164792,0.0014441266656085917,-1.1216238178487163,0.24531572308248273,0.07388075214727556,5.2867106463934825e-17,1.7948798334017637,-9.014674409328633,0.0012041887509942062,-1.121487414864811,0.001099460788162098,0.8146812915565067,0.23953390595376478,0.17481125501996156,1.3884297774622647e-16,1.3607718756069762,8.87388047505415,0.0008174900583901993,0.8145672375830891,0.05141355682279767,0.01467120267275788,1.6477349414725562,1.8515451327146446,0.000824472996924549,0.8555857911367899,0.3312021804545979,0.07913983305769612,6.88762186583156e-68,1.7580786508029127,19.32345776742526,0.0006823538540962823,0.8555857876678843,0.0010064141251639393,-0.4664147756117087,0.024311461696743586,0.07596539475499522,1.659339388141448e-05,1.77703599423412,-4.334466061796549,0.0008361905149462674,-0.4603006042375718,0.0007906043325697465,-1.012820637560636,0.15211773818582508,0.13496787660218235,7.101948510909162e-29,1.4964000793694603,-11.630752865238682,0.0006135604631697764,-1.0128116351099234,0.0008623020886480716,0.5475218829133714,0.06983020104322046,0.11964218001219408,1.51952964496683e-13,1.5580450489614928,7.523608732141921,0.0006807467304264599,0.5472261227176093,0.5945065369506706,0.015748462934645848,1.6826069683451057,1.5137511636377878,0.0008762073726553525,0.8510738391191,0.3179988182140623,0.005478187970446122,1.124370886327788e-106,2.7822997654108734,24.219239949693364,0.0008219736434861832,0.851073839093296,0.0010113445934238304,-0.5038567450430862,0.02881546511803923,0.007243103373113507,1.330695494963766e-09,2.6898444982237706,-6.109452020872047,0.0009426828962078971,-0.5027372922696369,0.0010523786249793227,-0.8898089522755569,0.11572452845709169,0.0033864307844222994,1.6645336009399342e-35,2.935884917102662,-12.83096266294738,0.0009965144486959766,-0.8898065706115752,0.0009449711494319798,0.6058062163302818,0.07890578385644054,0.009971444160005373,2.797533178536372e-24,2.580735919358298,10.381084166824746,0.0008734195773205889,0.6057874280878419,1.052000463954684,0.013521445830763243,1.6931159297424823,1.4757784981225075,LU0056508442,Cluster 1,LU0056508442
0.0006017642070571697,0.656848310909691,0.19819422119951013,0.3718697946473284,1.137427352985416e-13,0.8945842930084338,7.861056307888426,0.00035577654192319255,0.6565951179001338,0.0013244638196371413,0.06208293018139936,0.0006948561162990474,0.0764938748402353,0.6770837101584369,1.7787621679350778,0.41693503002523,0.0011008320476479294,0.02116632215579047,0.0014269101309747506,-0.8396399854408998,0.21305979254731877,0.031557566945438924,1.0588944665004006e-14,2.1621243295603345,-8.227158921426959,0.0012627007530278914,-0.8394155541584563,0.0011753209271287753,0.5870351192761465,0.1927542727259296,0.0800248286756089,2.6841771557795675e-13,1.7576858934256938,7.726256708641529,0.000972644525736352,0.5867761826832157,0.05438467776166328,0.011784836139859726,1.3590398081530843,1.4320961493100246,0.0005628172483053764,0.8037775015024756,0.3720818973283321,0.1626996799888496,3.0637931247302906e-78,1.3974155752842878,21.137491286111278,0.0004236690699307047,0.8037775009712977,0.000727703218259818,-0.5025929471895678,0.03593354300817697,0.1451470524984697,1.5116391834380568e-07,1.4583988283265596,-5.301297865914784,0.0005584333204439014,-0.5000874611926992,0.0005674314299983567,-0.8093126298592597,0.12363692651998015,0.23368811674062887,2.0181327483936574e-23,1.1918677124043535,-10.313777028662196,0.000395128835499159,-0.8092857826055614,0.0006408895296781068,0.39038109377580504,0.045187537201863526,0.19761469609963175,3.5754151917323515e-09,1.2895144751752263,5.973597677949179,0.0004643856907747786,0.38938754711540013,0.38636462863669274,0.013958156949797145,1.4420975339729858,1.3322153428091672,0.0006033222393319152,0.7943307591259966,0.33953025958583527,0.0313287348502549,1.8767056310192165e-115,2.1552854745496393,25.430394695886836,0.0005334152263475199,0.7943307591188232,0.000716227380775166,-0.5363531656157718,0.04002191619318174,0.034096036385971897,7.679383361743135e-13,2.121248298740913,-7.242001334840246,0.0006303646910892559,-0.535969202390948,0.0007759992290113534,-0.707640601653678,0.08971024971933261,0.01831629696657894,1.5709563908849094e-27,2.3622432279269496,-11.134520700375663,0.0007028933857516971,-0.7076302704281007,0.0006985073191411626,0.45305815342979483,0.054092118407715994,0.037353593142229025,6.145224788728177e-17,2.084087430754533,8.48169973069218,0.0006115986118475916,0.4529642679218281,0.6883444885080946,0.012212889045510539,1.4870639735864242,1.3486931256964783,LU0070992663,Cluster 1,LU0070992663
0.0008222328245690204,0.43596543125384535,0.09907394697052596,0.22046555293968412,3.359156924265097e-07,1.2283638204067533,5.243305515787841,0.0005815067237344701,0.4336623280369121,0.0011577572242709154,0.5979011384594839,0.07313138123528373,0.0867030764921751,1.3431810166452445e-05,1.719818152352288,4.441327543715141,0.00095040439470794,0.5908576900842863,0.0013923503600021781,-0.7755235541744734,0.20625277675237808,0.026119355199429827,3.156566223826796e-14,2.237739890790071,-8.059884102309509,0.001243787433817683,-0.7752785170979813,0.0011578218121668432,0.5498512814496181,0.19189376912103462,0.0664400199258897,3.0731457940990467e-13,1.8434970493449274,7.704885927007927,0.0009745814544039845,0.5496035074109883,0.04733766497371207,0.011063085695609579,1.3100550909832893,1.3725692782177108,0.0006539081406932917,0.7090747162372428,0.3151327339705411,0.10526641829885545,5.4480393293891653e-64,1.6217897688894258,18.626412945773485,0.0005247319728331255,0.7090747104650127,0.0008284880602526629,-0.1326790206274065,0.002725300793013141,0.08897208043034642,0.15157602138132706,1.7030432793324386,-1.4354414857874487,0.0006775968453384478,-0.10110005207737316,0.0006446871487119877,-0.7658288690072708,0.12048187008230848,0.15891798580185038,7.922104347095087e-23,1.410115385189288,-10.163051464050785,0.00048730927174242333,-0.7657993314508956,0.0007233360536956135,0.3427698399885689,0.03791307329868199,0.13081599066484398,6.791880016678209e-08,1.5125382785808872,5.450960206185878,0.000563948984688667,0.341298609680072,0.4363463584461545,0.013379836669354803,1.3718851331892292,1.2357177021615269,0.0005595585468531912,0.6987682145113268,0.30985149394959965,0.033902729480027864,1.9977337976554513e-103,2.1235475049056847,23.765439032209603,0.0004926316682857593,0.6987682144779738,0.0007161062167512388,-0.18578980514920906,0.005663064738456236,0.023804546924569833,0.007531817897810544,2.2630163805887813,-2.6766975278483547,0.0006416052484385051,-0.17300933256098228,0.000708211703079932,-0.6708882930041016,0.09508863049461069,0.01902297399071357,3.672238129452269e-29,2.348113140608134,-11.497451716271183,0.0006405425845574965,-0.6708814795022672,0.0006405048622342134,0.4086536729811542,0.05189774507598621,0.03838851080010683,2.693167293286663e-16,2.0728602792461888,8.298258797532196,0.0005599131004340959,0.40855193868107337,0.599821650350835,0.011246213248556784,1.324169092799095,1.1921243237498964,LU0107464264,Cluster 1,LU0107464264
0.00047163735938465047,0.6791210051537772,0.257307107018675,0.42282725076821004,6.976342660818185e-18,0.8028444208736162,9.306604565245204,0.00026031896736973206,0.679059325751639,0.0012390741779045927,-0.013945723825307052,4.258231173692728e-05,0.06794808619901915,0.9179031431632564,1.833292327328416,-0.10317960683634846,0.0010409631893936906,-0.0013671695950003876,0.0013094817075395035,-0.7195593485963611,0.1900400594005469,0.03208814605514974,4.1114545855205275e-13,2.1553653533845805,-7.658801490870998,0.0011577640402768148,-0.7192198082444133,0.0011011589906896125,0.47719425847670177,0.15469023827467243,0.07736536849655642,9.458704169654347e-11,1.7734873044711188,6.763842969704132,0.0009142482411863722,0.47664320273550226,0.02790548908505989,0.010693631812471124,1.238041161522037,1.2990460323782418,0.0005299128549419993,0.8250173023846783,0.44049468924851254,0.13995156625679056,3.652597118006182e-97,1.4775285728979086,24.364298113719837,0.00040898622525112273,0.825017302363042,0.0006962949173688894,-0.5463984805417453,0.04772368165477425,0.1370712825102232,1.2781942742960385e-09,1.4883706152637664,-6.147112351473535,0.0005391131818193236,-0.5452293782574442,0.000540561181889031,-0.8076258191288983,0.1383514347750583,0.2251900887200385,3.225412337256772e-26,1.2138368837402382,-11.003033165579298,0.000379984605231747,-0.8076123712556664,0.0006086614309989836,0.4047393366683881,0.05458077071743106,0.19241472547848712,7.862552825486844e-11,1.3046364513563289,6.597711015453005,0.00044354915233547123,0.4041874804655347,0.3657239552185224,0.013166669798851045,1.3258587123721626,1.2130717194881313,0.000521412243357267,0.7879019904649861,0.4071448575059635,0.030158015225953697,5.3864477772455865e-145,2.170467443670419,29.392769016843154,0.0004619064580874057,0.7879019904648508,0.0006322064390229353,-0.5379962250740132,0.04907761754938211,0.038010497839367115,1.7921769782911447e-15,2.0769308778561975,-8.057670828376654,0.0005529819776401289,-0.5378258613006514,0.0006929401183137379,-0.6982152121762796,0.10644469603868245,0.018904059959681856,1.2330721829753558e-32,2.3504583139314232,-12.241696696571356,0.0006268852805555194,-0.6982118432773476,0.0006191185356737768,0.43746359119704414,0.06146653758028897,0.04083541286253817,4.20224696020587e-19,2.0473058985583172,9.076842814559134,0.0005392013554503997,0.43741359704964117,0.5828922850764581,0.011061747159922584,1.3017045818827655,1.1718634778734471,LU0143551892,Cluster 2,LU0143551892
0.0005060754128314135,0.6794051553982985,0.2576454991704933,0.38958570612878696,6.5858295837382456e-18,0.8618686983077111,9.314844546091766,0.00029232329898860654,0.679343956549629,0.0012737283017493122,-0.013545928717630613,4.0195007584564735e-05,0.06058786816057769,0.9202297842720705,1.8850132584025476,-0.10024547781386085,0.0010803418957378837,-0.0012920739705801637,0.0013440659925283524,-0.7178740585672085,0.18924127524502832,0.027890321272247016,4.660002155197182e-13,2.2117280359094504,-7.638922815121572,0.0011968756515847983,-0.7175285122780187,0.0011361412982954899,0.4763960125026526,0.15424679662544583,0.06847279175933504,1.0113392698886492e-10,1.829785713157604,6.7523703680155815,0.0009538497606462052,0.47583953075130425,0.036664415604553274,0.010691078356645465,1.2444035628434353,1.2946830346704812,0.0005654054647183506,0.8241282303887023,0.43967154869493064,0.11554722986012182,6.363639305556544e-97,1.5755577011681199,24.323637203307886,0.0004484275201260405,0.8241282303661924,0.0007316757871280434,-0.5450888532205965,0.047508770782886844,0.11822623685943262,1.3946811685764542e-09,1.5640464754928574,-6.1325638303833205,0.0005785452063405982,-0.5439054611101048,0.0005761413013021975,-0.8063691934581713,0.13796068791765792,0.19619139146962886,3.831954388296807e-26,1.293624229270775,-10.984993713611155,0.00041812017796459484,-0.8063555220964529,0.000644081198064827,0.4042681349337911,0.05446933488567718,0.1677886189370928,8.22783233433619e-11,1.3806730972793237,6.59058400326379,0.0004821532121792033,0.4037129786681337,0.39237909429959117,0.013164784628324246,1.331772957942554,1.2090759373896622,0.0005575630276991499,0.7870903528298616,0.40622988915987335,0.020557658037327925,1.4225127792889354e-144,2.318943765136037,29.337093943270027,0.0005027114041559451,0.7870903528297186,0.0006681981004640669,-0.5376669049299105,0.049008314047769175,0.028354127713679993,1.877528672917475e-15,2.1948841801559653,-8.051686218815012,0.0005937799025911148,-0.5374956234485915,0.0007290301188606905,-0.6957703506036967,0.10568062806366396,0.013583106884926475,2.1184374644463244e-32,2.4715863400861013,-12.192469961629364,0.0006674629530192186,-0.6957668241069075,0.0006550905649197142,0.43729598275257164,0.061407870150990806,0.03049956235715973,4.37279566056325e-19,2.1659866265124967,9.072226486430319,0.0005799930951577303,0.43724577652549035,0.6281587633204481,0.011062789285091669,1.3092419656553225,1.1674996125213135,LU0143563046,Cluster 2,LU0143563046
0.0005391439999603301,0.6596611146564102,0.1289211168080523,0.537439575091659,4.401522931910367e-09,0.617541686892948,6.082796551097748,0.0002484006236721623,0.6581559087715534,0.0012029886604366749,0.30159675456245505,0.01057609339248522,0.19345305765991283,0.10336779302649962,1.303940933601928,1.6347127243532567,0.0008764255067675659,0.24278285871104222,0.001396483333402493,-1.1218481466014638,0.24530415387129667,0.08392644398458485,5.296971943037339e-17,1.7352634771094604,-9.014392744098352,0.001150208290079285,-1.1217116779034022,0.0010517524526628822,0.8148302631445711,0.23951439798245655,0.19431381363719544,1.392943929893856e-16,1.3014169237342676,8.873405304716046,0.000765522324636596,0.8147161340975332,0.03940162197518035,0.01467448299750059,1.6402155135321335,1.8592614906695955,0.0007769396965093502,0.8555635681976358,0.330981620908009,0.09815035582360328,7.801880556531137e-68,1.6559384923934295,19.313838154776732,0.0006286119625358655,0.8555635646952906,0.0009590398545727919,-0.4646555326573012,0.02411359422527004,0.09092661404610125,1.7978530619637225e-05,1.6926951509212538,-4.316353577545601,0.0007825545731420748,-0.45845309265408407,0.0007433352793114719,-1.011766518818111,0.15170805302470236,0.16008833109777895,8.531901155709909e-29,1.4061608644171089,-11.612275162327721,0.0005611568970705837,-1.0117573580207115,0.0008152888086604978,0.5459889316489785,0.06939708992035176,0.14135598253993614,1.8164840684666708e-13,1.4723043447831659,7.498494882548696,0.000628264598955247,0.545686498850117,0.5585669307588357,0.015753302019056593,1.6756229229660338,1.5202228043997221,0.0008286343843410668,0.850593103526917,0.3175983125312428,0.008635265709685935,1.6276267221128121e-106,2.6302934775996585,24.196879830012954,0.0007689252180340014,0.8505931035005445,0.0009643129733288682,-0.5004846158552407,0.028427351102447096,0.010460371081729385,1.7219634573590278e-09,2.564076564161024,-6.066956444830903,0.0008900702820496436,-0.49932438335543694,0.0010046757726244722,-0.8897582028181515,0.1156962618865669,0.005147386163612423,1.6985443956775436e-35,2.8025780850231627,-12.829190492549241,0.0009437386796638733,-0.8897558170657904,0.0008977991427478322,0.6038702155310247,0.07839205599071652,0.014378724429749584,3.985486566313045e-24,2.4510651228823783,10.344350875405766,0.000820407310491102,0.6038507865910949,0.9918905747743243,0.01352232665178608,1.6831184678323077,1.4815861626487592,LU0147408131,Cluster 1,LU0147408131
